time,P
2022-04-27 15:25:29.3530,100246.93
2022-04-27 15:25:30.3250,100947.13
2022-04-27 15:25:31.2940,102215.24
2022-04-27 15:25:32.2640,104174.52
2022-04-27 15:25:33.2360,106338.4
2022-04-27 15:25:34.2060,108295.61
2022-04-27 15:25:35.1750,109801.68
2022-04-27 15:25:36.1460,110741.52
2022-04-27 15:25:37.1160,110825.8
2022-04-27 15:25:38.0870,110825.8
2022-04-27 15:25:39.0580,110747.09
2022-04-27 15:25:40.0280,110678.07
2022-04-27 15:25:40.9980,110477.62
2022-04-27 15:25:41.9680,108453.67
2022-04-27 15:25:42.9390,106426.82
2022-04-27 15:25:43.9080,104328.63
2022-04-27 15:25:44.8800,102225.81
2022-04-27 15:25:45.8490,100189.49
2022-04-27 15:25:46.8200,99956.04
2022-04-27 15:25:47.7950,99954.5
2022-04-27 15:25:48.7600,99954.5
2022-04-27 15:25:49.7300,99954.96
2022-04-27 15:25:50.7000,99955.67
2022-04-27 15:25:51.6700,100326.11
2022-04-27 15:25:52.6410,102026.4
2022-04-27 15:25:53.6120,104188.79
2022-04-27 15:25:54.5880,106390.14
2022-04-27 15:25:55.5520,108610.7
2022-04-27 15:25:56.5220,110610.91
2022-04-27 15:25:57.4920,111304.21
2022-04-27 15:25:58.4660,111510.92
2022-04-27 15:25:59.4330,111700.42
2022-04-27 15:26:00.4040,111849.59
2022-04-27 15:26:01.3750,111849.59
2022-04-27 15:26:02.3450,109639.71
2022-04-27 15:26:03.3160,107294.44
2022-04-27 15:26:04.2850,104906.36
2022-04-27 15:26:05.2570,102514.89
2022-04-27 15:26:06.2260,100171.56
2022-04-27 15:26:07.1980,99953.13
2022-04-27 15:26:08.1670,99951.71
2022-04-27 15:26:09.1370,99950.78
2022-04-27 15:26:10.1090,99949.94
2022-04-27 15:26:11.0790,99949.23
2022-04-27 15:26:12.0500,99948.81
2022-04-27 15:26:13.0210,99948.81
2022-04-27 15:26:13.9910,99969.41
2022-04-27 15:26:14.9630,100685.11
2022-04-27 15:26:15.9370,101946.69
2022-04-27 15:26:16.9040,103853.47
2022-04-27 15:26:17.8750,106021.3
2022-04-27 15:26:18.8450,108279.22
2022-04-27 15:26:19.8180,109770.08
2022-04-27 15:26:20.7880,110204.43
2022-04-27 15:26:21.7580,110204.43
2022-04-27 15:26:22.7330,109359.4
2022-04-27 15:26:23.7030,107777.41
2022-04-27 15:26:24.6710,105692.91
2022-04-27 15:26:25.6420,103821.24
2022-04-27 15:26:26.6130,102186.24
2022-04-27 15:26:27.5840,100833.73
2022-04-27 15:26:28.5550,100833.73
2022-04-27 15:26:29.5270,101640.4
2022-04-27 15:26:30.4980,103765.77
2022-04-27 15:26:31.4690,105966.45
2022-04-27 15:26:32.4410,108146.31
2022-04-27 15:26:33.4130,110249.19
2022-04-27 15:26:34.3830,111071.26
2022-04-27 15:26:35.3540,111108.01
2022-04-27 15:26:36.3260,111108.01
2022-04-27 15:26:37.2980,109296.77
2022-04-27 15:26:38.2690,107107.25
2022-04-27 15:26:39.2410,104913.08
2022-04-27 15:26:40.2120,102748.98
2022-04-27 15:26:41.1840,100565.7
