time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:31.0740,-0.115,-1.277,-0.223,0.65,4.07,0.77,-0.54,-0.44,-0.5,100352.196
2022-04-27 11:44:31.0840,-0.125,-0.97,-0.309,0.15,0.67,1.14,-0.34,-0.19,-0.35,100352.196
2022-04-27 11:44:31.0930,-0.011,-1.316,-0.397,-0.18,1.76,2.19,-0.26,-0.2,-0.14,100352.196
2022-04-27 11:44:31.1030,-0.103,-1.125,-0.304,-0.27,2.54,1.84,-0.09,-0.14,-0.02,100352.196
2022-04-27 11:44:31.1140,-0.11,-1.031,-0.312,0.32,0.69,1.33,0.22,0.1,-0.14,100352.196
2022-04-27 11:44:31.1230,0.025,-1.213,-0.338,-0.02,0.61,1.74,0.33,0.14,0.21,100352.196
2022-04-27 11:44:31.1330,0.194,-1.529,-0.342,-2.58,5.06,1.75,0.33,0.14,0.21,100352.196
2022-04-27 11:44:31.1430,-0.095,-1.212,-0.38,-1.13,3.34,2.14,0.61,0.1,0.42,100352.196
2022-04-27 11:44:31.1530,-0.125,-1.286,-0.392,0.74,2.29,2.46,0.61,0.1,0.42,100352.196
2022-04-27 11:44:31.1630,-0.037,-1.354,-0.369,-0.41,3.58,2.33,0.59,0.17,0.44,100352.196
2022-04-27 11:44:31.1730,-0.09,-1.315,-0.388,-0.33,3.36,2.39,0.55,0.29,0.43,100352.196
2022-04-27 11:44:31.1830,-0.154,-1.277,-0.383,0.36,3.01,2.57,0.49,0.49,0.3,100352.196
2022-04-27 11:44:31.1930,-0.155,-1.24,-0.348,0.59,2.56,2.32,0.49,0.49,0.3,100352.196
2022-04-27 11:44:31.2030,-0.118,-1.278,-0.341,0.27,2.63,2.12,0.45,0.54,0.25,100352.196
2022-04-27 11:44:31.2130,-0.123,-1.36,-0.36,0.08,3.33,2.36,0.37,0.37,0.24,100352.196
2022-04-27 11:44:31.2230,-0.181,-1.404,-0.339,0.45,4.01,2.27,0.38,0.26,0.18,100352.196
2022-04-27 11:44:31.2330,-0.267,-1.398,-0.337,1.24,4.07,2.23,0.38,0.26,0.18,100352.196
2022-04-27 11:44:31.2420,-0.311,-1.364,-0.268,1.93,3.86,1.92,0.4,0.21,0.11,100352.196
2022-04-27 11:44:31.2530,-0.278,-1.297,-0.236,1.82,3.27,1.27,0.48,0.23,0.05,100352.196
2022-04-27 11:44:31.2630,-0.227,-1.262,-0.278,1.32,2.74,1.65,0.5,0.29,0.04,100352.196
2022-04-27 11:44:31.2720,-0.161,-1.235,-0.257,0.8,2.56,1.66,0.52,0.27,0.09,100352.196
2022-04-27 11:44:31.2820,-0.091,-1.208,-0.269,-0.01,2.17,1.71,0.48,0.25,0.16,100352.196
2022-04-27 11:44:31.2930,-0.067,-1.209,-0.242,-0.38,2.15,1.65,0.44,0.21,0.21,100352.196
2022-04-27 11:44:31.3020,-0.068,-1.204,-0.249,-0.5,2.11,1.58,0.44,0.21,0.21,100352.196
2022-04-27 11:44:31.3120,-0.117,-1.193,-0.239,-0.21,2.04,1.68,0.37,0.15,0.22,100352.196
2022-04-27 11:44:31.3220,-0.182,-1.176,-0.207,0.44,1.9,1.37,0.25,0.09,0.16,100352.196
2022-04-27 11:44:31.3320,-0.179,-1.126,-0.204,0.69,1.56,1.29,0.12,0.01,0.06,100352.196
2022-04-27 11:44:31.3420,-0.114,-1.036,-0.197,0.22,0.81,1.21,-0.12,-0.13,-0.1,100352.196
2022-04-27 11:44:31.3520,-0.059,-0.927,-0.163,-0.4,-0.2,0.95,-0.19,-0.16,-0.16,100382.401
2022-04-27 11:44:31.3620,-0.027,-0.829,-0.177,-0.8,-1.27,0.79,-0.19,-0.13,-0.19,100382.401
2022-04-27 11:44:31.3720,-0.066,-0.744,-0.217,-0.71,-2.09,1.23,-0.19,-0.13,-0.19,100382.401
2022-04-27 11:44:31.3820,-0.155,-0.659,-0.248,0.12,-2.94,1.58,0.03,-0.26,-0.24,100382.401
2022-04-27 11:44:31.3920,-0.173,-0.525,-0.262,0.65,-3.98,1.71,0.03,-0.26,-0.24,100382.401
2022-04-27 11:44:31.4020,-0.141,-0.34,-0.287,0.48,-5.72,1.95,0.12,-0.24,-0.25,100382.401
2022-04-27 11:44:31.4120,-0.071,-0.212,-0.285,-0.04,-7.29,2.12,0.21,-0.18,-0.21,100382.401
2022-04-27 11:44:31.4220,0.024,-0.167,-0.23,-0.89,-8.01,1.77,0.29,-0.08,-0.16,100382.401
2022-04-27 11:44:31.4310,0.099,-0.151,-0.141,-1.79,-8.17,1.04,0.32,0.01,-0.09,100382.401
2022-04-27 11:44:31.4410,0.065,-0.086,-0.075,-1.91,-8.61,0.23,0.37,0.05,-0.06,100382.401
2022-04-27 11:44:31.4510,-0.021,-0.018,-0.071,-1.03,-9.34,0.02,0.49,0.03,-0.09,100382.401
2022-04-27 11:44:31.4620,-0.017,0.049,-0.079,-0.73,-9.99,0.19,0.64,-0.03,-0.06,100382.401
2022-04-27 11:44:31.4710,0.01,0.068,-0.065,-1.01,-10.44,0.19,0.71,-0.14,0.01,100382.401
