time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-04-27 12:13:20.9700,0.019,0.958,-0.032,0.41,0.6,0.08,0.2,-0.27,0.27
2022-04-27 12:13:20.9800,0.016,0.989,-0.031,0.46,0.3,0.05,0.16,-0.27,0.25
2022-04-27 12:13:20.9890,0.011,1.001,-0.026,0.52,0.02,0.01,0.1,-0.26,0.21
2022-04-27 12:13:20.9990,0.008,0.999,-0.025,0.58,-0.05,-0.05,0.05,-0.26,0.16
2022-04-27 12:13:21.0100,0.005,0.979,-0.024,0.62,0.01,-0.05,-0.01,-0.27,0.11
2022-04-27 12:13:21.0200,0.003,0.954,-0.026,0.66,0.23,-0.06,-0.05,-0.27,0.04
2022-04-27 12:13:21.0300,0.0,0.934,-0.026,0.69,0.47,-0.04,-0.11,-0.27,-0.03
2022-04-27 12:13:21.0380,-0.0,0.921,-0.024,0.7,0.65,-0.03,-0.17,-0.28,-0.11
2022-04-27 12:13:21.0490,-0.0,0.909,-0.022,0.69,0.78,-0.04,-0.22,-0.28,-0.18
2022-04-27 12:13:21.0590,-0.001,0.907,-0.024,0.67,0.87,-0.03,-0.27,-0.28,-0.25
2022-04-27 12:13:21.0690,0.0,0.904,-0.026,0.65,0.89,0.02,-0.31,-0.28,-0.31
2022-04-27 12:13:21.0790,0.001,0.906,-0.03,0.6,0.92,0.08,-0.32,-0.28,-0.37
2022-04-27 12:13:21.0890,0.006,0.915,-0.034,0.55,0.87,0.15,-0.32,-0.27,-0.39
2022-04-27 12:13:21.0990,0.015,0.914,-0.036,0.45,0.81,0.21,-0.31,-0.27,-0.39
2022-04-27 12:13:21.1080,0.021,0.911,-0.039,0.33,0.82,0.26,-0.28,-0.27,-0.38
2022-04-27 12:13:21.1190,0.024,0.896,-0.041,0.24,0.88,0.32,-0.24,-0.26,-0.35
2022-04-27 12:13:21.1290,0.027,0.879,-0.044,0.18,1.05,0.35,-0.18,-0.26,-0.32
2022-04-27 12:13:21.1370,0.029,0.86,-0.046,0.12,1.21,0.4,-0.13,-0.26,-0.27
2022-04-27 12:13:21.1480,0.03,0.821,-0.045,0.08,1.44,0.43,-0.07,-0.25,-0.21
2022-04-27 12:13:21.1580,0.032,0.769,-0.043,0.05,1.86,0.41,-0.01,-0.24,-0.14
